,_id,Price,Location,Area
0,1,33000000.0,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",605.0
1,2,35500000.0,"Wapda Town Phase 1 - Block F1, Wapda Town Phase 1",605.0
2,3,34000000.0,"Wapda Town Phase 1 - Block B4, Wapda Town Phase 1",605.0
3,4,21700000.0,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",302.501
4,5,22700000.0,"Wapda Town Phase 1 - Block F1, Wapda Town Phase 1",302.501
5,6,28000000.0,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",605.0
6,7,35000000.0,"Wapda Town Phase 1, Wapda Town",605.0
7,8,16500000.0,"Wapda Town Phase 2 - Block N1, Wapda Town Phase 2",302.501
8,9,22500000.0,"Wapda Town Phase 2 - Block P3, Wapda Town Phase 2",605.0
9,10,57500000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
10,11,16000000.0,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",302.501
11,12,33500000.0,"Wapda Town Phase 2 - Block Q2, Wapda Town Phase 2",726.0
12,13,16000000.0,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",302.501
13,14,76000000.0,"Wapda Town Phase 1 - Block E2, Wapda Town Phase 1",605.0
14,15,35000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",665.5
15,16,26000000.0,"Wapda Town Phase 1 - Block D3, Wapda Town Phase 1",302.501
16,17,22000000.0,"Wapda Town Phase 1, Wapda Town",302.501
17,18,34000000.0,"Wapda Town Phase 1 - Block H3, Wapda Town Phase 1",605.0
18,19,18500000.0,"Wapda Town Phase 2, Wapda Town",302.501
19,20,65000000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
20,21,22500000.0,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",605.0
21,22,85000000.0,"Wapda Town, Lahore",1210.0
22,23,29000000.0,"Wapda Town, Lahore",605.0
23,24,29000000.0,"Wapda Town, Lahore",605.0
24,25,85000000.0,"Wapda Town, Lahore",1210.0
25,26,25000000.0,"Wapda Town Phase 1, Wapda Town",605.0
26,27,23000000.0,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",302.501
27,28,22500000.0,"Wapda Town Phase 1 - Block H2, Wapda Town Phase 1",605.0
28,29,35000000.0,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",605.0
29,30,18500000.0,"Wapda Town Phase 1 - Block K3, Wapda Town Phase 1",302.501
30,31,31500000.0,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",605.0
31,32,22500000.0,"Wapda Town Phase 1 - Block G2, Wapda Town Phase 1",302.501
32,33,47500000.0,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",605.0
33,34,47500000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",847.0
34,35,35000000.0,"Wapda Town Phase 1 - Block B4, Wapda Town Phase 1",605.0
35,36,22500000.0,"Wapda Town Phase 1 - Block J2, Wapda Town Phase 1",302.501
36,37,28000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",605.0
37,38,42500000.0,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",605.0
38,39,80000000.0,"Wapda Town Phase 2, Wapda Town",2420.0
39,40,32000000.0,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",605.0
40,41,14500000.0,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",302.501
41,42,16000000.0,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",302.501
42,43,29000000.0,"Wapda Town, Lahore",605.0
43,44,29000000.0,"Wapda Town, Lahore",605.0
44,45,85000000.0,"Wapda Town, Lahore",1210.0
45,46,20000000.0,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",302.501
46,47,32500000.0,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",605.0
47,48,17500000.0,"Wapda Town Phase 1 - Block H4, Wapda Town Phase 1",302.501
48,49,32500000.0,"Wapda Town Phase 1 - Block E1, Wapda Town Phase 1",605.0
49,50,17500000.0,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",302.501
50,51,19000000.0,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",302.501
51,52,67500000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
52,53,55000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",605.0
53,54,40000000.0,"Wapda Town, Lahore",605.0
54,55,62500000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
55,56,25500000.0,"Wapda Town Phase 2 - Block P1, Wapda Town Phase 2",605.0
56,57,25000000.0,"Wapda Town Phase 2 - Block P2, Wapda Town Phase 2",574.7519
57,58,40000000.0,"Wapda Town Phase 1 - Block K1, Wapda Town Phase 1",605.0
58,59,24500000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",605.0
59,60,36000000.0,"Wapda Town Phase 2, Wapda Town",605.0
60,61,16500000.0,"Wapda Town Phase 2 - Block N1, Wapda Town Phase 2",302.501
61,62,45000000.0,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",605.0
62,63,23000000.0,"Wapda Town Phase 1 - Block J2, Wapda Town Phase 1",302.501
63,64,25000000.0,"Wapda Town Phase 1 - Block H3, Wapda Town Phase 1",605.0
64,65,13799999.999999998,"Wapda Town Phase 1 - Block G3, Wapda Town Phase 1",151.2505
65,66,37500000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",1210.0
66,67,52500000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",847.0
67,68,7000000.0,"Wapda Town Phase 1 - Block A3, Wapda Town Phase 1",151.2505
68,69,13000000.0,"Wapda Town Phase 1 - Block G3, Wapda Town Phase 1",151.2505
69,70,60000000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
70,71,20000000.0,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",302.501
71,72,45000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",605.0
72,73,31000000.0,"Wapda Town Phase 2 - Block N1, Wapda Town Phase 2",302.501
73,74,12000000.0,"Wapda Town Phase 1 - Block G5, Wapda Town Phase 1",151.2505
74,75,100000000.0,"Wapda Town Phase 1 - Block E2, Wapda Town Phase 1",605.0
75,76,50000000.0,"Wapda Town Phase 1, Wapda Town",605.0
76,77,25000000.0,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",302.501
77,78,31500000.0,"Wapda Town Phase 1 - Block A1, Wapda Town Phase 1",726.0
78,79,32500000.0,"Wapda Town Phase 2, Wapda Town",605.0
79,80,26000000.0,"Wapda Town Phase 1 - Block D3, Wapda Town Phase 1",302.501
80,81,40000000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",1210.0
81,82,19000000.0,"Wapda Town Phase 2 - Block M, Wapda Town Phase 2",302.501
82,83,26000000.0,"Wapda Town Phase 2 - Block Q1, Wapda Town Phase 2",605.0
83,84,20000000.0,"Wapda Town Phase 2 - Block N2, Wapda Town Phase 2",302.501
84,85,19000000.0,"Wapda Town Phase 2 - Block N3, Wapda Town Phase 2",302.501
85,86,9500000.0,"Wapda Town Extension, Wapda Town",302.501
86,87,24000000.0,"Wapda Town Phase 1 - Block A2, Wapda Town Phase 1",605.0
87,88,35000000.0,"Wapda Town Phase 1 - Block H1, Wapda Town Phase 1",1210.0
88,89,70000000.0,"Wapda Town Phase 1 - Block D2, Wapda Town Phase 1",1210.0
89,90,30000000.0,"Wapda Town Extension, Wapda Town",605.0
90,91,24000000.0,"Wapda Town Extension, Wapda Town",605.0
91,92,35000000.0,"Wapda Town Phase 1 - Block J1, Wapda Town Phase 1",665.5
